x,y,z,status
-9208,-697,12636,1
-9260,-894,12640,1
-9153,-735,12615,1
-9193,-662,12668,1
-9248,-928,12601,1
-9144,-727,12677,1
-9225,-700,12655,1
-9232,-908,12586,1
-9123,-698,12632,1
-9282,-739,12583,1
-9238,-878,12611,1
-9140,-664,12652,1
-9259,-728,12653,1
-9281,-888,12605,1
-9110,-669,12665,1
-9320,-777,12604,1
-9227,-892,12620,1
-9142,-657,12617,1
-9318,-790,12583,1
-9292,-871,12583,1
-9085,-632,12660,1
-9337,-823,12567,1
-9202,-854,12653,1
-9137,-641,12632,1
-9313,-839,12625,1
-9215,-845,12580,1
-9145,-653,12629,1
-9361,-865,12618,1
-9208,-802,12568,1
-9123,-652,12651,1
-9317,-867,12657,1
-9152,-795,12669,1
-9171,-635,12624,1
-9291,-878,12619,1
-9184,-809,12588,1
-9143,-679,12652,1
-9343,-928,12579,1
-9131,-747,12642,1
-9209,-641,12618,1
-9223,-915,12613,1
-9166,-724,12583,1
-9213,-696,12663,1
-9294,-923,12582,1
-9107,-665,12613,1
-9280,-730,12597,1
-9243,-882,12618,1
-9147,-675,12594,1
-9251,-694,12631,1
-9267,-918,12615,1
-9117,-652,12629,1
-9287,-762,12580,1
-9267,-885,12622,1
-9118,-672,12605,1
-9322,-790,12573,1
-9278,-847,12595,1
-9167,-676,12611,1
-9292,-799,12609,1
-9278,-852,12615,1
-9069,-617,12684,1
-9337,-841,12583,1
-9193,-832,12620,1
-9143,-670,12663,1
-9346,-836,12556,1
-9225,-842,12590,1
-9139,-629,12635,1
-9345,-905,12613,1
-9151,-790,12610,1
-9115,-660,12685,1
-9316,-862,12639,1
-9172,-799,12634,1
-9173,-665,12649,1
-9287,-900,12559,1
-9188,-792,12612,1
-9194,-684,12658,1
-9332,-914,12635,1
-9141,-745,12578,1
-9224,-679,12654,1
-9225,-872,12620,1
-9174,-742,12596,1
-9192,-701,12642,1
-9280,-913,12632,1
-9116,-714,12614,1
-9288,-736,12608,1
-9262,-908,12639,1
-9149,-728,12611,1
-9235,-747,12665,1
-9241,-905,12634,1
-9101,-650,12653,1
-9318,-745,12570,1
-9215,-888,12645,1
-9143,-650,12642,1
-9317,-799,12592,1
-9285,-843,12614,1
-9126,-657,12625,1
-9345,-818,12589,1
-9228,-853,12600,1
-9138,-657,12671,1
-9338,-836,12604,1
-9205,-830,12587,1
-9167,-650,12642,1
-9333,-840,12578,1
-9216,-825,12592,1
-9119,-642,12640,1
-9332,-882,12620,1
-9094,-781,12620,1
-9168,-655,12643,1
-9283,-862,12585,1
-9207,-785,12604,1
-9138,-647,12724,1
-9316,-925,12595,1
-9126,-733,12599,1
-9189,-671,12639,1
-9227,-908,12665,1
-9140,-752,12596,1
-9194,-677,12661,1
-9247,-925,12608,1
-9169,-705,12585,1
-9238,-736,12628,1
-9265,-911,12607,1
-9171,-686,12592,1
-9281,-722,12645,1
-9202,-893,12622,1
-9173,-661,12631,1
-9236,-773,12658,1
-9270,-924,12589,1
-9090,-678,12629,1
-9354,-809,12546,1
-9217,-857,12655,1
-9186,-679,12607,1
-9290,-797,12617,1
-9275,-856,12629,1
-9070,-621,12628,1
-9351,-809,12580,1
-9200,-838,12638,1
-9130,-651,12657,1
-9377,-832,12566,1
-9214,-842,12568,1
-9148,-617,12654,1
-9338,-835,12590,1
-9214,-815,12629,1
-9114,-648,12647,1
-9350,-884,12609,1
-9124,-776,12643,1
-9183,-674,12636,1
-9286,-887,12585,1
-9199,-771,12563,1
-9156,-640,12636,1
