18:13:40:364 -> X -3945;Y 122;Z 14296
18:13:40:385 -> X -12060;Y -2793;Z 16570
18:13:40:404 -> X -13894;Y 261;Z 6310
18:13:40:425 -> X -3590;Y 814;Z 12433
18:13:40:445 -> X -11024;Y -2856;Z 17368
18:13:40:465 -> X -14756;Y -206;Z 6968
18:13:40:485 -> X -3891;Y 1290;Z 10771
18:13:40:505 -> X -9928;Y -2675;Z 17924
18:13:40:525 -> X -15175;Y -728;Z 8208
18:13:40:544 -> X -4701;Y 1606;Z 9180
18:13:40:565 -> X -8790;Y -2401;Z 18140
18:13:40:584 -> X -15245;Y -1350;Z 9939
18:13:40:604 -> X -6057;Y 1607;Z 7969
18:13:40:625 -> X -7556;Y -2012;Z 17960
18:13:40:645 -> X -14992;Y -1897;Z 11643
18:13:40:665 -> X -7947;Y 1376;Z 7143
18:13:40:685 -> X -6397;Y -1478;Z 17339
18:13:40:705 -> X -14238;Y -2265;Z 13363
18:13:40:725 -> X -10004;Y 1042;Z 6441
18:13:40:745 -> X -5186;Y -850;Z 16341
18:13:40:765 -> X -13439;Y -2616;Z 14877
18:13:40:784 -> X -12025;Y 586;Z 6267
18:13:40:805 -> X -4228;Y -147;Z 14817
18:13:40:825 -> X -12426;Y -2781;Z 16172
18:13:40:844 -> X -13454;Y 322;Z 6168
18:13:40:865 -> X -3740;Y 579;Z 13043
18:13:40:885 -> X -11404;Y -2815;Z 17173
18:13:40:904 -> X -14559;Y -97;Z 6792
18:13:40:925 -> X -3691;Y 1168;Z 11255
18:13:40:945 -> X -10268;Y -2739;Z 17818
18:13:40:965 -> X -15099;Y -565;Z 7845
18:13:40:985 -> X -4468;Y 1551;Z 9536
18:13:41:005 -> X -9099;Y -2462;Z 18079
18:13:41:025 -> X -15264;Y -1219;Z 9546
18:13:41:044 -> X -5618;Y 1627;Z 8249
18:13:41:065 -> X -7881;Y -2129;Z 18044
18:13:41:085 -> X -15048;Y -1805;Z 11305
18:13:41:104 -> X -7461;Y 1458;Z 7364
18:13:41:125 -> X -6621;Y -1586;Z 17543
